subject,slope
0,0.004880656528835766
1,0.015265520503266364
2,0.025874375329825252
3,-0.0001425836164289706
4,0.00721083643657682
5,0.01637292431476907
6,0.001439113396994673
7,0.008632647602165094
8,-0.01257853619378305
9,0.019415209154657727
10,0.0029962902690963663
11,-0.0038965188384890302
12,-0.008075720734296467
13,-0.006806643368712608
14,0.011205583117033248
15,-7.668258874208679e-05
16,0.0025775319767028285
17,0.006930005468261801
18,0.027197164904843585
19,-0.0006452033878716004
20,0.01054520130127737
21,0.007202767763951758
22,0.007987332090949805
23,0.015897883475544695
24,0.006430725764418791
25,-0.004544300341280624
26,-0.0029474206775349245
27,0.00944647772740492
28,0.00881281147066543
29,-0.008000370075415809
30,0.00786383046102152
31,0.007335906583799429
32,-0.008750246635722896
33,0.021008540208933876
34,-0.004299780582421646
35,0.0006937533346230826
36,-0.009548794224558937
37,0.0068597790571014675
38,0.007194298845092657
39,-0.004649211649617885
40,-0.005850273700493905
41,-0.0157724974235486
42,0.007813295671069385
43,0.0007140059583419387
