subject,slope
0,0.007889302342340384
1,0.018636615223044457
2,0.029624499581593234
3,0.00015028864732926888
4,0.004103831975644489
5,0.026762844307540105
6,-0.015537458219105587
7,0.00995144488757607
8,-0.024151449974089016
9,0.01987402361126165
10,0.014018415660265113
11,-0.00316902638222411
12,0.0020854487115905956
13,-0.007077067999188384
14,0.01234440067713639
15,-0.0033036711633609617
16,0.001212799496476317
17,0.023848074244650495
18,0.021455154219609796
19,0.008983647020062158
20,0.0012087373078362846
21,0.00752460655547664
22,0.00676606847861503
23,0.013679139139975063
24,0.006920550738998608
25,-0.012146415085435276
26,0.01842241155295726
27,0.006898154269481259
28,0.010912231460364612
29,-0.01692599287818575
30,0.009949954313110403
31,-0.0018638718314377485
32,-0.010780289974624952
33,0.02408450527879344
34,-0.001880601226112482
35,0.00506702022841293
36,-0.011211375636587908
37,-0.008185190208315039
38,0.020522826645652144
39,-0.0021414456758957314
40,0.008032401699686574
41,-0.014816369449646323
42,0.005891688213713056
43,0.004121292791017753
